keyword_id,location_id,keyword,search_intent,device,tracking_started_on
KW-0059,LOC-007,cosmetic dentist houston,cosmetic,mobile,2026-06-15
KW-0060,LOC-007,teeth whitening montrose,cosmetic,mobile,2026-06-15
KW-0061,LOC-007,emergency dentist houston,emergency,desktop,2026-06-15
KW-0062,LOC-007,invisalign houston,orthodontics,mobile,2026-06-15
KW-0063,LOC-007,dentist montrose,general,mobile,2026-06-15
KW-0064,LOC-007,dental implants houston,implants,mobile,2026-06-15
KW-0065,LOC-007,pediatric dentist houston,pediatric,mobile,2026-06-15
KW-0066,LOC-007,dentist near montrose,general,mobile,2026-06-15
KW-0067,LOC-008,dentist katy,general,mobile,2026-06-15
KW-0068,LOC-008,pediatric dentist katy,pediatric,mobile,2026-06-15
KW-0069,LOC-008,teeth whitening katy,cosmetic,mobile,2026-06-15
KW-0070,LOC-008,emergency dentist katy,emergency,mobile,2026-06-15
KW-0071,LOC-008,cosmetic dentist katy,cosmetic,mobile,2026-06-15
KW-0072,LOC-008,dentist near katy tx,general,desktop,2026-06-15
KW-0073,LOC-008,walk in dentist katy,general,desktop,2026-06-15
KW-0074,LOC-008,invisalign katy,orthodontics,mobile,2026-06-15
KW-0075,LOC-008,dental implants katy,implants,mobile,2026-06-15
KW-0076,LOC-009,dentist sugar land,general,mobile,2026-06-15
KW-0077,LOC-009,emergency dentist sugar land,emergency,desktop,2026-06-15
KW-0078,LOC-009,cosmetic dentist sugar land,cosmetic,mobile,2026-06-15
KW-0079,LOC-009,dental implants sugar land,implants,mobile,2026-06-15
KW-0080,LOC-009,pediatric dentist sugar land,pediatric,mobile,2026-06-15
KW-0081,LOC-009,invisalign sugar land,orthodontics,mobile,2026-06-15
KW-0082,LOC-009,dentist near sugar land,general,mobile,2026-06-15
KW-0083,LOC-009,teeth whitening sugar land,cosmetic,mobile,2026-06-15
KW-0084,LOC-009,orthodontist sugar land,orthodontics,desktop,2026-06-15
KW-0085,LOC-010,dentist arcadia,general,mobile,2026-06-15
KW-0086,LOC-010,cosmetic dentist arcadia,cosmetic,mobile,2026-06-15
KW-0087,LOC-010,emergency dentist phoenix,emergency,desktop,2026-06-15
KW-0088,LOC-010,invisalign arcadia,orthodontics,mobile,2026-06-15
KW-0089,LOC-010,pediatric dentist arcadia,pediatric,mobile,2026-06-15
KW-0090,LOC-010,walk in dentist arcadia,general,mobile,2026-06-15
KW-0091,LOC-010,dentist near arcadia,general,mobile,2026-06-15
KW-0092,LOC-010,dental implants arcadia,implants,mobile,2026-06-15
KW-0093,LOC-011,dentist tempe,general,mobile,2026-06-15
KW-0094,LOC-011,emergency dentist tempe,emergency,mobile,2026-06-15
KW-0095,LOC-011,invisalign tempe,orthodontics,mobile,2026-06-15
KW-0096,LOC-011,orthodontist tempe,orthodontics,mobile,2026-06-15
KW-0097,LOC-011,cosmetic dentist tempe,cosmetic,desktop,2026-06-15
KW-0098,LOC-011,pediatric dentist tempe,pediatric,mobile,2026-06-15
KW-0099,LOC-011,walk in dentist tempe,general,desktop,2026-06-15
KW-0100,LOC-011,emergency dental care tempe,emergency,desktop,2026-06-15
KW-0101,LOC-011,dentist near tempe,general,mobile,2026-06-15
KW-0102,LOC-011,dental implants tempe,implants,mobile,2026-06-15
KW-0103,LOC-011,emergency dentist tempe az,emergency,mobile,2026-06-15
KW-0104,LOC-012,dentist chandler,general,mobile,2026-07-20
KW-0105,LOC-012,pediatric dentist chandler,pediatric,mobile,2026-07-20
KW-0106,LOC-012,emergency dentist chandler,emergency,mobile,2026-07-20
KW-0107,LOC-012,cosmetic dentist chandler,cosmetic,mobile,2026-07-20
KW-0108,LOC-012,teeth whitening chandler,cosmetic,mobile,2026-07-20
KW-0109,LOC-012,dentist near chandler,general,mobile,2026-07-20
KW-0110,LOC-012,invisalign chandler,orthodontics,desktop,2026-07-20
KW-0111,LOC-012,dental implants chandler,implants,desktop,2026-07-20
KW-0112,LOC-012,walk in dentist chandler,general,mobile,2026-07-20
