location_id,attribute_id,value
LOC-007,attr_19,TRUE
LOC-007,attr_20,TRUE
LOC-007,attr_22,TRUE
LOC-007,attr_28,TRUE
LOC-007,attr_30,FALSE
LOC-007,attr_34,TRUE
LOC-008,attr_04,FALSE
LOC-008,attr_05,TRUE
LOC-008,attr_06,TRUE
LOC-008,attr_12,TRUE
LOC-008,attr_14,TRUE
LOC-008,attr_17,TRUE
LOC-008,attr_27,TRUE
LOC-008,attr_33,TRUE
LOC-008,attr_34,FALSE
LOC-009,attr_02,TRUE
LOC-009,attr_03,TRUE
LOC-009,attr_05,TRUE
LOC-009,attr_07,FALSE
LOC-009,attr_08,FALSE
LOC-009,attr_10,TRUE
LOC-009,attr_12,FALSE
LOC-009,attr_14,TRUE
LOC-009,attr_18,TRUE
LOC-009,attr_19,FALSE
LOC-009,attr_24,TRUE
LOC-009,attr_26,TRUE
LOC-009,attr_29,TRUE
LOC-009,attr_32,FALSE
LOC-009,attr_34,FALSE
LOC-010,attr_01,TRUE
LOC-010,attr_02,TRUE
LOC-010,attr_04,FALSE
LOC-010,attr_05,TRUE
LOC-010,attr_06,FALSE
LOC-010,attr_07,TRUE
LOC-010,attr_08,FALSE
LOC-010,attr_10,TRUE
LOC-010,attr_12,FALSE
LOC-010,attr_13,TRUE
LOC-010,attr_14,TRUE
LOC-010,attr_15,TRUE
LOC-010,attr_16,TRUE
LOC-010,attr_18,TRUE
LOC-010,attr_19,TRUE
LOC-010,attr_23,TRUE
LOC-010,attr_24,TRUE
LOC-010,attr_25,TRUE
LOC-010,attr_26,TRUE
LOC-010,attr_27,TRUE
LOC-010,attr_29,TRUE
LOC-010,attr_30,FALSE
LOC-010,attr_31,TRUE
LOC-010,attr_33,TRUE
LOC-010,attr_34,TRUE
LOC-011,attr_03,TRUE
LOC-011,attr_04,FALSE
LOC-011,attr_05,TRUE
LOC-011,attr_07,TRUE
LOC-011,attr_10,FALSE
LOC-011,attr_11,TRUE
LOC-011,attr_13,TRUE
LOC-011,attr_14,TRUE
LOC-011,attr_16,TRUE
LOC-011,attr_17,TRUE
LOC-011,attr_18,FALSE
LOC-011,attr_19,FALSE
LOC-011,attr_20,TRUE
LOC-011,attr_21,TRUE
LOC-011,attr_22,TRUE
LOC-011,attr_23,TRUE
LOC-011,attr_24,TRUE
LOC-011,attr_25,TRUE
LOC-011,attr_27,FALSE
LOC-011,attr_28,TRUE
LOC-011,attr_29,TRUE
LOC-011,attr_30,FALSE
LOC-011,attr_31,TRUE
LOC-011,attr_32,TRUE
LOC-011,attr_33,FALSE
LOC-011,attr_34,TRUE
LOC-012,attr_05,TRUE
LOC-012,attr_07,TRUE
LOC-012,attr_13,TRUE
LOC-012,attr_16,FALSE
LOC-012,attr_19,FALSE
LOC-012,attr_21,FALSE
LOC-012,attr_23,FALSE
LOC-012,attr_27,TRUE
LOC-012,attr_29,FALSE
LOC-012,attr_30,TRUE
LOC-012,attr_32,TRUE
