location_id,year_month,search_term,impressions
LOC-004,2026-04,pediatric dentist near me,1843
LOC-004,2026-04,cosmetic dentist,2598
LOC-004,2026-04,dental cleaning,2497
LOC-004,2026-04,teeth whitening dallas,1330
LOC-004,2026-04,emergency tooth extraction deep ellum,988
LOC-004,2026-04,brightpath dental,793
LOC-004,2026-04,dentist near me deep ellum,31
LOC-004,2026-04,brightpath dental dallas,179
LOC-004,2026-04,teeth whitening deep ellum,505
LOC-004,2026-04,brightpath dental deep ellum,340
LOC-004,2026-04,gum disease treatment,803
LOC-004,2026-05,cosmetic dentist,3205
LOC-004,2026-05,wisdom teeth removal,6003
LOC-004,2026-05,brightpath dental dallas,1715
LOC-004,2026-05,teeth whitening cost,2174
LOC-004,2026-05,emergency tooth extraction,2351
LOC-004,2026-05,dentist that takes medicaid,602
LOC-004,2026-05,teeth whitening,418
LOC-004,2026-05,brightpath deep ellum,561
LOC-004,2026-05,dental implants cost deep ellum,31
LOC-004,2026-05,dental implants,1282
LOC-004,2026-05,dental implants cost,936
LOC-004,2026-05,cavity filling deep ellum,267
LOC-004,2026-05,dental cleaning,590
LOC-004,2026-05,invisalign near me,107
LOC-004,2026-05,affordable dentist no insurance deep ellum,109
LOC-004,2026-06,dentist open sunday,2948
LOC-004,2026-06,pediatric dentist near me deep ellum,3451
LOC-004,2026-06,brightpath dental deep ellum,2079
LOC-004,2026-06,invisalign near me,1127
LOC-004,2026-06,dental cleaning,2166
LOC-004,2026-06,emergency tooth extraction,1044
LOC-004,2026-06,brightpath deep ellum,166
LOC-004,2026-06,braces near me,389
LOC-004,2026-06,dentist with payment plans deep ellum,1074
LOC-004,2026-06,gum disease treatment,319
LOC-004,2026-06,cosmetic dentist,492
LOC-004,2026-06,emergency dentist,994
LOC-004,2026-06,teeth whitening,114
LOC-004,2026-06,dentist open now,235
LOC-004,2026-06,brightpath dental dallas,386
LOC-004,2026-06,dentist near me,247
LOC-004,2026-06,gentle dentist,835
LOC-004,2026-06,teeth whitening cost,126
LOC-004,2026-06,affordable dentist no insurance,295
LOC-004,2026-06,cavity filling,9
LOC-004,2026-07,affordable dentist no insurance,5323
LOC-004,2026-07,brightpath deep ellum,3280
LOC-004,2026-07,brightpath dental deep ellum,1670
LOC-004,2026-07,cavity filling,2187
LOC-004,2026-07,dentist open saturday,1272
LOC-004,2026-07,pediatric dentist near me,42
LOC-004,2026-07,emergency tooth extraction,132
LOC-004,2026-07,dentist that takes medicaid deep ellum,329
LOC-004,2026-07,dentist open sunday,1081
LOC-004,2026-07,gum disease treatment,851
LOC-004,2026-07,dental implants deep ellum,858
LOC-004,2026-07,orthodontist near me,28
LOC-004,2026-07,kids dentist,960
LOC-004,2026-07,dental cleaning,377
LOC-004,2026-07,brightpath dental dallas,1025
LOC-004,2026-07,brightpath dental,58
LOC-004,2026-07,invisalign near me,218
LOC-004,2026-07,teeth cleaning near me,612
LOC-004,2026-08,dentist open sunday,2566
LOC-004,2026-08,wisdom teeth removal,3921
LOC-004,2026-08,brightpath dental deep ellum,1797
LOC-004,2026-08,dental implants cost,1829
LOC-004,2026-08,brightpath deep ellum,1520
LOC-004,2026-08,gentle dentist,61
LOC-004,2026-08,cosmetic dentist,296
LOC-004,2026-08,orthodontist near me,372
LOC-004,2026-08,brightpath dental dallas,786
LOC-004,2026-08,teeth whitening dallas,161
LOC-004,2026-08,pediatric dentist near me,377
LOC-004,2026-08,teeth whitening deep ellum,716
LOC-004,2026-08,brightpath dental,967
LOC-004,2026-08,teeth whitening,587
LOC-004,2026-08,dentist with payment plans deep ellum,186
LOC-004,2026-08,walk in dentist,40
LOC-004,2026-08,dental cleaning,887
LOC-004,2026-08,emergency tooth extraction,960
LOC-004,2026-08,walk in dentist deep ellum,357
LOC-004,2026-08,braces near me,801
LOC-005,2026-04,wisdom teeth removal,4246
LOC-005,2026-04,affordable dentist no insurance plano,4728
LOC-005,2026-04,dentist near me,2130
LOC-005,2026-04,brightpath plano,2207
LOC-005,2026-04,kids dentist,1756
LOC-005,2026-04,emergency dentist,930
LOC-005,2026-04,affordable dentist no insurance,1148
LOC-005,2026-04,affordable dentist no insurance dallas,686
LOC-005,2026-04,emergency tooth extraction plano,509
LOC-005,2026-04,brightpath dental,491
LOC-005,2026-04,kids dentist plano,978
LOC-005,2026-04,tooth extraction,539
LOC-005,2026-04,emergency tooth extraction,969
LOC-005,2026-04,dentist open now,104
LOC-005,2026-04,best dentist near me,926
LOC-005,2026-04,dentist open sunday,1311
LOC-005,2026-04,emergency tooth extraction dallas,840
LOC-005,2026-04,teeth cleaning near me,1135
LOC-005,2026-04,braces near me,331
LOC-005,2026-04,brightpath dental dallas,1273
LOC-005,2026-05,brightpath plano,6499
LOC-005,2026-05,tooth extraction plano,8242
LOC-005,2026-05,affordable dentist no insurance plano,1601
LOC-005,2026-05,emergency dentist,2761
LOC-005,2026-05,wisdom teeth removal,1952
LOC-005,2026-05,affordable dentist no insurance,962
LOC-005,2026-05,cosmetic dentist,989
LOC-005,2026-05,brightpath dental plano,908
LOC-005,2026-05,dentist near me dallas,345
LOC-005,2026-05,gum disease treatment,1501
LOC-005,2026-05,tooth extraction dallas,362
LOC-005,2026-05,dentist open now,346
LOC-005,2026-06,dental cleaning plano,2826
LOC-005,2026-06,walk in dentist plano,5884
LOC-005,2026-06,dentist near me,1698
LOC-005,2026-06,emergency dentist,2250
LOC-005,2026-06,dental cleaning,1542
LOC-005,2026-06,walk in dentist,1031
LOC-005,2026-06,teeth whitening cost plano,850
LOC-005,2026-06,dentist that takes medicaid,1508
LOC-005,2026-06,gum disease treatment,944
LOC-005,2026-06,cosmetic dentist,553
LOC-005,2026-06,kids dentist,1083
LOC-005,2026-06,braces near me,1414
LOC-005,2026-06,walk in dentist dallas,286
LOC-005,2026-06,brightpath dental,559
LOC-005,2026-06,dental implants cost,990
LOC-005,2026-06,best dentist near me,1088
LOC-005,2026-06,cavity filling,912
LOC-005,2026-06,dentist open saturday,850
LOC-005,2026-06,brightpath dental plano,70
LOC-005,2026-07,brightpath dental plano,4154
LOC-005,2026-07,tooth extraction,3996
LOC-005,2026-07,kids dentist,1967
LOC-005,2026-07,best dentist near me dallas,2440
LOC-005,2026-07,gum disease treatment,1745
LOC-005,2026-07,orthodontist near me,291
LOC-005,2026-07,root canal near me,942
LOC-005,2026-07,brightpath plano,207
LOC-005,2026-07,best dentist near me plano,408
LOC-005,2026-07,dentist open saturday,522
LOC-005,2026-07,invisalign near me,1161
LOC-005,2026-07,dental implants,889
LOC-005,2026-07,brightpath dental dallas,209
LOC-005,2026-07,dental cleaning plano,886
LOC-005,2026-07,dental cleaning,44
LOC-005,2026-07,pediatric dentist near me,695
LOC-005,2026-07,teeth whitening,288
LOC-005,2026-07,teeth cleaning near me,1401
LOC-005,2026-07,emergency dentist,861
LOC-005,2026-07,dentist near me,647
LOC-005,2026-07,gum disease treatment plano,1025
LOC-005,2026-07,emergency tooth extraction,1062
LOC-005,2026-08,brightpath dental dallas,6113
LOC-005,2026-08,dental cleaning,6408
LOC-005,2026-08,brightpath dental plano,2087
LOC-005,2026-08,brightpath dental,2538
LOC-005,2026-08,best dentist near me plano,2625
LOC-005,2026-08,dentist near me,419
LOC-005,2026-08,dentist open sunday dallas,1138
LOC-005,2026-08,gum disease treatment,323
LOC-005,2026-08,best dentist near me dallas,1862
LOC-005,2026-08,orthodontist near me,1114
LOC-005,2026-08,brightpath plano,778
LOC-005,2026-08,dental implants,112
LOC-005,2026-08,emergency tooth extraction,1062
LOC-006,2026-04,brightpath dental,2524
LOC-006,2026-04,brightpath dental irving,2626
LOC-006,2026-04,dental implants,1461
LOC-006,2026-04,dentist open now,1282
LOC-006,2026-04,kids dentist,1736
LOC-006,2026-04,dentist that takes medicaid,177
LOC-006,2026-04,dental implants cost,99
LOC-006,2026-04,brightpath irving,619
LOC-006,2026-04,best dentist near me irving,843
LOC-006,2026-04,teeth cleaning near me,30
LOC-006,2026-04,dentist open saturday,126
LOC-006,2026-04,root canal near me,21
LOC-006,2026-04,brightpath dental dallas,377
LOC-006,2026-04,dentist with payment plans,809
LOC-006,2026-04,teeth whitening cost,910
LOC-006,2026-04,best dentist near me,196
LOC-006,2026-04,dentist open sunday dallas,485
LOC-006,2026-04,best dentist near me dallas,369
LOC-006,2026-04,pediatric dentist near me,22
LOC-006,2026-05,brightpath dental irving,2611
LOC-006,2026-05,dental implants cost irving,2340
LOC-006,2026-05,wisdom teeth removal,1532
LOC-006,2026-05,tooth extraction,1854
LOC-006,2026-05,dentist open now,1126
LOC-006,2026-05,brightpath dental,66
LOC-006,2026-05,emergency tooth extraction,137
LOC-006,2026-05,gum disease treatment irving,307
LOC-006,2026-05,emergency dentist,578
LOC-006,2026-05,gum disease treatment dallas,704
LOC-006,2026-05,wisdom teeth removal irving,586
LOC-006,2026-05,brightpath dental dallas,671
LOC-006,2026-05,dentist open saturday,644
LOC-006,2026-05,dentist that takes medicaid,356
LOC-006,2026-06,dental implants,1682
LOC-006,2026-06,dentist that takes medicaid,2411
LOC-006,2026-06,dentist with payment plans,933
LOC-006,2026-06,dentist open now,1245
LOC-006,2026-06,orthodontist near me,1231
LOC-006,2026-06,cavity filling,300
LOC-006,2026-06,brightpath dental irving,777
LOC-006,2026-06,teeth cleaning near me,621
LOC-006,2026-06,best dentist near me irving,546
LOC-006,2026-06,dental cleaning,38
LOC-006,2026-06,invisalign near me,744
LOC-006,2026-06,kids dentist,224
LOC-006,2026-06,wisdom teeth removal,418
LOC-006,2026-06,brightpath irving,202
LOC-006,2026-06,teeth whitening cost,294
LOC-006,2026-06,brightpath dental,72
LOC-006,2026-06,teeth whitening irving,415
LOC-006,2026-06,affordable dentist no insurance,327
LOC-006,2026-07,dentist that takes medicaid irving,2039
LOC-006,2026-07,teeth whitening cost irving,2832
LOC-006,2026-07,brightpath dental,1510
LOC-006,2026-07,dentist open now,923
LOC-006,2026-07,teeth whitening cost dallas,1008
LOC-006,2026-07,dental cleaning,105
LOC-006,2026-07,emergency dentist,642
LOC-006,2026-07,tooth extraction,568
LOC-006,2026-07,gum disease treatment,787
LOC-006,2026-07,cosmetic dentist,28
LOC-006,2026-07,kids dentist irving,77
LOC-006,2026-07,dental implants,608
LOC-006,2026-07,kids dentist dallas,376
LOC-006,2026-07,brightpath irving,168
LOC-006,2026-07,emergency tooth extraction,252
LOC-006,2026-08,dentist open sunday,3399
LOC-006,2026-08,invisalign near me,1270
LOC-006,2026-08,walk in dentist,694
LOC-006,2026-08,best dentist near me,863
LOC-006,2026-08,brightpath dental dallas,940
LOC-006,2026-08,cosmetic dentist,670
LOC-006,2026-08,pediatric dentist near me dallas,150
LOC-006,2026-08,brightpath dental irving,545
LOC-006,2026-08,affordable dentist no insurance,97
LOC-006,2026-08,dentist with payment plans,473
LOC-006,2026-08,orthodontist near me,174
LOC-006,2026-08,tooth extraction,233
LOC-006,2026-08,dental implants cost,218
LOC-006,2026-08,pediatric dentist near me irving,81
LOC-006,2026-08,emergency dentist,7
LOC-006,2026-08,brightpath dental,307
LOC-006,2026-08,dentist open saturday,488
LOC-006,2026-08,dental cleaning,295
LOC-007,2026-04,dental cleaning,1299
LOC-007,2026-04,brightpath dental houston,1549
LOC-007,2026-04,root canal near me,784
LOC-007,2026-04,brightpath dental,876
LOC-007,2026-04,dental implants cost,874
LOC-007,2026-04,cavity filling,306
LOC-007,2026-04,dentist that takes medicaid,137
LOC-007,2026-04,dentist open saturday,70
LOC-007,2026-04,dentist open sunday,439
LOC-007,2026-04,affordable dentist no insurance,598
LOC-007,2026-04,brightpath dental montrose,81
LOC-007,2026-04,kids dentist,436
LOC-007,2026-04,dentist near me,445
LOC-007,2026-04,cosmetic dentist montrose,164
LOC-007,2026-04,tooth extraction,305
LOC-007,2026-04,dental implants,251
LOC-007,2026-04,gentle dentist,508
LOC-007,2026-04,wisdom teeth removal,100
LOC-007,2026-05,cosmetic dentist montrose,1518
LOC-007,2026-05,dentist with payment plans,2048
LOC-007,2026-05,cosmetic dentist houston,886
LOC-007,2026-05,dentist open now,530
LOC-007,2026-05,emergency tooth extraction,622
LOC-007,2026-05,brightpath dental montrose,345
LOC-007,2026-05,teeth cleaning near me,262
LOC-007,2026-05,gum disease treatment,64
LOC-007,2026-05,gum disease treatment montrose,547
LOC-007,2026-05,affordable dentist no insurance houston,82
LOC-007,2026-05,braces near me,593
LOC-007,2026-05,brightpath dental,495
LOC-007,2026-05,emergency dentist,392
LOC-007,2026-05,orthodontist near me,318
LOC-007,2026-05,walk in dentist,405
LOC-007,2026-06,brightpath dental montrose,1109
LOC-007,2026-06,dentist open saturday,1691
LOC-007,2026-06,gentle dentist houston,619
LOC-007,2026-06,emergency tooth extraction,525
LOC-007,2026-06,best dentist near me montrose,640
LOC-007,2026-06,emergency dentist,474
LOC-007,2026-06,root canal near me,345
LOC-007,2026-06,teeth whitening cost,99
LOC-007,2026-06,teeth cleaning near me,188
LOC-007,2026-06,dentist with payment plans,50
LOC-007,2026-06,cosmetic dentist,366
LOC-007,2026-06,tooth extraction,436
LOC-007,2026-06,gentle dentist montrose,101
LOC-007,2026-06,teeth whitening,227
LOC-007,2026-06,kids dentist,183
LOC-007,2026-06,braces near me,398
LOC-007,2026-06,wisdom teeth removal,518
LOC-007,2026-06,brightpath dental,247
LOC-007,2026-06,best dentist near me,78
LOC-007,2026-06,affordable dentist no insurance,398
LOC-007,2026-06,brightpath montrose,62
LOC-007,2026-07,best dentist near me,1468
LOC-007,2026-07,braces near me,1980
LOC-007,2026-07,teeth whitening cost,745
LOC-007,2026-07,dental implants,629
LOC-007,2026-07,dental implants cost montrose,622
LOC-007,2026-07,brightpath dental montrose,130
LOC-007,2026-07,invisalign near me houston,540
LOC-007,2026-07,wisdom teeth removal,127
LOC-007,2026-07,dentist that takes medicaid,367
LOC-007,2026-07,teeth whitening,40
LOC-007,2026-07,dental cleaning,305
LOC-007,2026-07,emergency dentist,275
LOC-007,2026-07,brightpath dental,618
LOC-007,2026-07,root canal near me,177
LOC-007,2026-07,brightpath montrose,386
LOC-007,2026-07,dentist open sunday,529
LOC-007,2026-08,tooth extraction,1351
LOC-007,2026-08,teeth whitening cost,1597
LOC-007,2026-08,gum disease treatment,1023
LOC-007,2026-08,kids dentist,802
LOC-007,2026-08,brightpath dental montrose,986
LOC-007,2026-08,best dentist near me,83
LOC-007,2026-08,teeth cleaning near me,212
LOC-007,2026-08,invisalign near me montrose,373
LOC-007,2026-08,affordable dentist no insurance houston,330
LOC-007,2026-08,affordable dentist no insurance montrose,28
LOC-007,2026-08,emergency tooth extraction,321
LOC-007,2026-08,invisalign near me,57
LOC-007,2026-08,gum disease treatment montrose,360
LOC-007,2026-08,dental implants,472
LOC-007,2026-08,gum disease treatment houston,321
LOC-007,2026-08,affordable dentist no insurance,222
LOC-008,2026-04,dentist open saturday katy,3249
LOC-008,2026-04,emergency dentist houston,3253
LOC-008,2026-04,brightpath dental,1306
LOC-008,2026-04,invisalign near me katy,1115
LOC-008,2026-04,brightpath dental katy,1258
LOC-008,2026-04,invisalign near me houston,743
LOC-008,2026-04,dental implants cost,811
LOC-008,2026-04,brightpath dental houston,101
LOC-008,2026-04,brightpath katy,202
LOC-008,2026-04,dentist open now,848
LOC-008,2026-04,dentist near me,805
LOC-008,2026-04,emergency dentist,37
LOC-008,2026-04,cavity filling,1074
LOC-008,2026-05,gentle dentist,1585
LOC-008,2026-05,dental implants cost,3034
LOC-008,2026-05,dentist that takes medicaid,1029
LOC-008,2026-05,brightpath dental,996
LOC-008,2026-05,teeth whitening cost houston,1216
LOC-008,2026-05,brightpath katy,59
LOC-008,2026-05,dentist with payment plans,252
LOC-008,2026-05,invisalign near me,78
LOC-008,2026-05,brightpath dental houston,534
LOC-008,2026-05,orthodontist near me,480
LOC-008,2026-05,pediatric dentist near me,651
LOC-008,2026-05,wisdom teeth removal katy,627
LOC-008,2026-05,cavity filling,780
LOC-008,2026-05,teeth whitening cost katy,599
LOC-008,2026-05,dental implants katy,379
LOC-008,2026-05,gum disease treatment,55
LOC-008,2026-05,dental cleaning,337
LOC-008,2026-05,dentist open saturday,497
LOC-008,2026-05,walk in dentist,467
LOC-008,2026-05,brightpath dental katy,78
LOC-008,2026-05,emergency dentist,505
LOC-008,2026-06,walk in dentist,3060
LOC-008,2026-06,teeth whitening cost,1908
LOC-008,2026-06,tooth extraction,1560
LOC-008,2026-06,affordable dentist no insurance,1315
LOC-008,2026-06,brightpath dental katy,1933
LOC-008,2026-06,emergency tooth extraction,495
LOC-008,2026-06,teeth whitening cost katy,751
LOC-008,2026-06,cosmetic dentist,411
LOC-008,2026-06,dentist open now,98
LOC-008,2026-06,gum disease treatment,127
LOC-008,2026-06,dentist that takes medicaid,596
LOC-008,2026-06,dental implants cost,635
LOC-008,2026-06,wisdom teeth removal katy,764
LOC-008,2026-06,teeth whitening,244
LOC-008,2026-06,brightpath dental houston,61
LOC-008,2026-06,brightpath katy,241
LOC-008,2026-07,emergency dentist,2569
LOC-008,2026-07,dentist open saturday,1994
LOC-008,2026-07,brightpath dental houston,1428
LOC-008,2026-07,brightpath dental,1106
LOC-008,2026-07,teeth whitening cost,1206
LOC-008,2026-07,dentist with payment plans,127
LOC-008,2026-07,gum disease treatment,408
LOC-008,2026-07,dental implants cost,509
LOC-008,2026-07,gum disease treatment katy,102
